city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts,female_native,female_romanized,female_tts,male_native,male_romanized,male_tts,notes
paris,restaurant,ordering,restaurant.ordering.excuse_me,fr-FR,Excuse me!,Excusez-moi !,Excusez-moi,Excusez-moi !,,,,,,,
paris,restaurant,ordering,restaurant.ordering.menu_please,fr-FR,Menu please,La carte s'il vous plaît,La carte s'il vous plaît,La carte s'il vous plaît,,,,,,,
paris,restaurant,ordering,restaurant.ordering.what_do_you_recommend,fr-FR,What do you recommend?,Qu'est-ce que vous recommandez ?,Qu'est-ce que vous recommandez,Qu'est-ce que vous recommandez ?,,,,,,,
paris,restaurant,ordering,restaurant.ordering.this_one_please,fr-FR,This one please,Celui-ci s'il vous plaît,Celui-ci s'il vous plaît,Celui-ci s'il vous plaît,,,,,,,
paris,restaurant,ordering,restaurant.ordering.water_please,fr-FR,Water please,De l'eau s'il vous plaît,De l'eau s'il vous plaît,De l'eau s'il vous plaît,,,,,,,
paris,restaurant,dietary,restaurant.dietary.i_have_a_nut_allergy,fr-FR,I have a nut allergy,Je suis allergique aux noix,Je suis allergique aux noix,Je suis allergique aux noix,,,,,,,
paris,restaurant,dietary,restaurant.dietary.i_cant_eat_seafood,fr-FR,I can't eat seafood,Je ne peux pas manger de fruits de mer,Je ne peux pas manger de fruits de mer,Je ne peux pas manger de fruits de mer,,,,,,,
paris,restaurant,dietary,restaurant.dietary.no_spicy_please,fr-FR,No spicy please,Pas épicé s'il vous plaît,Pas épicé s'il vous plaît,Pas épicé s'il vous plaît,,,,,,,
paris,restaurant,dietary,restaurant.dietary.im_vegetarian,fr-FR,I'm vegetarian,Je suis végétarien,Je suis végétarien,Je suis végétarien,Je suis végétarienne,Je suis végétarienne,Je suis végétarienne,,,
paris,restaurant,paying,restaurant.paying.check_please,fr-FR,Check please,L'addition s'il vous plaît,L'addition s'il vous plaît,L'addition s'il vous plaît,,,,,,,
paris,restaurant,paying,restaurant.paying.can_i_pay_by_card,fr-FR,Can I pay by card?,Je peux payer par carte ?,Je peux payer par carte,Je peux payer par carte ?,,,,,,,
paris,restaurant,paying,restaurant.paying.receipt_please,fr-FR,Receipt please,Le reçu s'il vous plaît,Le reçu s'il vous plaît,Le reçu s'il vous plaît,,,,,,,
paris,restaurant,paying,restaurant.paying.separate_checks_please,fr-FR,Separate checks please,Addition séparée s'il vous plaît,Addition séparée s'il vous plaît,Addition séparée s'il vous plaît,,,,,,,
paris,cafe,ordering,cafe.ordering.one_americano_please,fr-FR,One americano please,Un café américain s'il vous plaît,Un café américain s'il vous plaît,Un café américain s'il vous plaît,,,,,,,
paris,cafe,ordering,cafe.ordering.hot_please,fr-FR,Hot please,Chaud s'il vous plaît,Chaud s'il vous plaît,Chaud s'il vous plaît,,,,,,,
paris,cafe,ordering,cafe.ordering.to-go_please,fr-FR,To-go please,À emporter s'il vous plaît,À emporter s'il vous plaît,À emporter s'il vous plaît,,,,,,,
paris,cafe,finding_facilities,cafe.finding_facilities.can_i_sit_here,fr-FR,Can I sit here?,Je peux m'asseoir ici ?,Je peux m'asseoir ici,Je peux m'asseoir ici ?,,,,,,,
paris,cafe,finding_facilities,cafe.finding_facilities.any_seats_with_outlets,fr-FR,Any seats with outlets?,Y a-t-il des places avec prises ?,Y a-t-il des places avec prises,Y a-t-il des places avec prises ?,,,,,,,
paris,cafe,finding_facilities,cafe.finding_facilities.whats_the_wifi_password,fr-FR,What's the wifi password?,Quel est le mot de passe wifi ?,Quel est le mot de passe wifi,Quel est le mot de passe wifi ?,,,,,,,
paris,cafe,casual_chat,cafe.casual_chat.nice_atmosphere_here,fr-FR,Nice atmosphere here!,Belle ambiance ici !,Belle ambiance ici,Belle ambiance ici !,,,,,,,
paris,cafe,casual_chat,cafe.casual_chat.so_instagram-worthy,fr-FR,So Instagram-worthy!,Tellement instagrammable !,Tellement instagrammable,Tellement instagrammable !,,,,,,,
paris,cafe,casual_chat,cafe.casual_chat.thanks_for_the_cafe_recommendation,fr-FR,Thanks for the cafe recommendation!,Merci pour la recommandation du café !,Merci pour la recommandation du café,Merci pour la recommandation du café !,,,,,,,
paris,subway,buying_ticket,subway.buying_ticket.i_want_to_recharge_t-money_card,fr-FR,I want to recharge my card,Je veux recharger ma carte,Je veux recharger ma carte,Je veux recharger ma carte,,,,,,,
paris,subway,buying_ticket,subway.buying_ticket.single-use_card_please,fr-FR,Single-use card please,Un ticket s'il vous plaît,Un ticket s'il vous plaît,Un ticket s'il vous plaît,,,,,,,
paris,subway,directions,subway.directions.how_do_i_get_to_louvre_station,fr-FR,How do I get to Louvre station?,Comment aller à la station Louvre ?,Comment aller à la station Louvre,Comment aller à la station Louvre ?,,,,,,,
