city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts
Beijing,restaurant,ordering,restaurant.ordering.excuse_me,,Excuse me!,打扰一下！,Dǎ rǎo yī xià!,打扰一下！
Beijing,restaurant,ordering,restaurant.ordering.menu_please,,Menu please,能看一下菜单吗？,Néng kàn yī xià cài dān ma?,能看一下菜单吗？
Beijing,restaurant,ordering,restaurant.ordering.what_do_you_recommend,,What do you recommend?,有什么推荐吗？,Yǒu shé me tuī jiàn ma?,有什么推荐吗？
Beijing,restaurant,ordering,restaurant.ordering.this_one_please,,This one please,我想要这个。,Wǒ xiǎng yào zhè ge.,我想要这个。
Beijing,restaurant,ordering,restaurant.ordering.water_please,,Water please,能给我点水吗？,Néng gěi wǒ diǎn shuǐ ma?,能给我点水吗？
Beijing,restaurant,dietary,restaurant.dietary.i_have_a_nut_allergy,,I have a nut allergy,我对坚果过敏。,Wǒ duì jiān guǒ guòmǐn.,我对坚果过敏。
Beijing,restaurant,dietary,restaurant.dietary.i_cant_eat_seafood,,I can't eat seafood,我不能吃海鲜。,Wǒ bù néng chī hǎi xiān.,我不能吃海鲜。
Beijing,restaurant,dietary,restaurant.dietary.no_spicy_please,,No spicy please,不要辣。,Bù yào là.,不要辣。
Beijing,restaurant,dietary,restaurant.dietary.im_vegetarian,,I'm vegetarian,我是素食主义者。,Wǒ shì sù shí zhǔ yì zhě.,我是素食主义者。
Beijing,restaurant,paying,restaurant.paying.check_please,,Check please,结账。,Jié zhàng.,结账。
Beijing,restaurant,paying,restaurant.paying.can_i_pay_by_card,,Can I pay by card?,能用银行卡支付吗？,Néng yòng yín háng kǎ zhī fù ma?,能用银行卡支付吗？
Beijing,restaurant,paying,restaurant.paying.receipt_please,,Receipt please,给我看一下账单。,Gěi wǒ kàn yī xià zhàng dān.,给我看一下账单。
Beijing,restaurant,paying,restaurant.paying.separate_checks_please,,Separate checks please,分开结账。,Fēn kāi jié zhàng.,分开结账。
Beijing,cafe,ordering,cafe.ordering.one_americano_please,,One americano please,一杯美式咖啡,Yī bēi měi shì kā fēi,一杯美式咖啡
Beijing,cafe,ordering,cafe.ordering.hot_please,,Hot please,要热的,Yào rè de,要热的
Beijing,cafe,finding facilities,cafe.ordering.to-go_please,,To-go please,带走,Dài zǒu,带走
Beijing,cafe,finding facilities,cafe.finding facilities .can_i_sit_here,,Can I sit here?,我能坐这吗？,Wǒ néng zuò zhè ma?,我能坐这吗？
Beijing,cafe,finding facilities,cafe.finding facilities .any_seats_with_outlets,,Any seats with outlets?,有带插座的座位吗？,Yǒu dài chā zuò de zuò wèi ma?,有带插座的座位吗？
Beijing,cafe,finding facilities,cafe.finding facilities .whats_the_wifi_password,,What's the wifi password?,WIFI密码是多少？,WIFI mì mǎ shì duō shǎo?,WIFI密码是多少？
Beijing,cafe,casual_chat,cafe.casual_chat.nice_atmosphere_here,,Nice atmosphere here!,这里环境真好！,Zhè lǐ huán jìng zhēn hǎo!,这里环境真好！
Beijing,cafe,casual_chat,cafe.casual_chat.so_instagram-worthy,,So Instagram-worthy!,这值得在Instagram上分享！,Zhè zhí dé zài Instagram shàng fēn xiǎng!,这值得在Instagram上分享！
Beijing,cafe,casual_chat,cafe.casual_chat.thanks_for_the_cafe_recommendation,,Thanks for the cafe recommendation!,感谢您推荐这家咖啡厅！,Gǎn xiè nín tuī jiàn zhè jiā kā fēi tīng!,感谢您推荐这家咖啡馆！
Beijing,subway,buying_ticket,subway.buying_ticket.i_want_to_recharge_t-money_card,,I want to recharge Beijing Transit Card,我想要充值我的北京交通卡,Wǒ xiǎng yào chōng zhí wǒ de běi jīng jiāo tōng kǎ,我想要充值我的北京交通卡
Beijing,subway,buying_ticket,subway.buying_ticket.single-use_card_please,,Single-use card please,我想要单次卡,Wǒ xiǎng yào dān cì kǎ,我想要单次卡
Beijing,subway,directions,subway.directions.how_do_i_get_to_gangnam_station,,How do I get to Beijing station?,去北京站怎么走？,Qù běi jīng zhàn zěnme zǒu?,去北京站怎么走？
Beijing,subway,directions,subway.directions.which_exit_number,,Which exit number?,从哪个口出？,Cóng nǎ ge kǒu chū?,从哪个口出？
Beijing,subway,directions,subway.directions.do_i_need_to_transfer,,Do I need to transfer?,需要换乘吗？,Xū yào huàn chéng ma?,需要换乘吗？
Beijing,subway,reading_map,subway.reading_map.where_are_we,,Where are we?,我们现在在哪？,Wǒ men xiàn zài zài nǎ?,我们现在在哪？
Beijing,subway,reading_map,subway.reading_map.is_this_the_right_direction,,Is this the right direction?,这个方向对吗？,Zhè ge fāng xiàng duì ma?,这个方向对吗？
Beijing,taxi,getting_in,taxi.getting_in.hello,,Hello,你好,Nǐ hǎo,你好
