city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts,female_native,female_romanized,female_tts,male_native,male_romanized,male_tts,notes
new delhi,restaurant,ordering,restaurant.ordering.excuse_me,hi-IN,Excuse me!,सुनिए!,Suniye!,सुनिए!,भैया सुनिए!,Bhaiya suniye!,भैया सुनिए!,भैया सुनिए!,Bhaiya suniye!,भैया सुनिए!,
new delhi,restaurant,ordering,restaurant.ordering.hey_can_i_see_the_menu,hi-IN,Hey can I see the menu?,मेनू दिखाइए?,Menu dikhaiye?,मेनू दिखाइए?,भैया मेनू दिखाइए।,Bhaiya menu dikhaiye.,भैया मेनूदिखाइए।,भैया मेनूदिखाइए।,Bhaiya menu dikhaiye.,भैया मेनूदिखाइए।,
new delhi,restaurant,ordering,restaurant.ordering.whats_special_today,hi-IN,What's special today?,क्या स्पेशल हैआज?,Kya special hai aaj?,क्या स्पेशल हैआज?,क्या स्पेशल हैआज?,Kya special hai aaj?,क्या स्पेशल हैआज?,क्या स्पेशल हैआज?,Kya special hai aaj?,क्यास्पेशल हैआज?,
new delhi,restaurant,ordering,restaurant.ordering.ill_take_this_one,hi-IN,I'll take this one,मुझे ये चाहिए।,Mujhe ye chahiye.,मुझे येचाहिए।,मुझे ये चाहिए।,Mujhe ye chahiye.,मुझे येचाहिए।,मुझे ये चाहिए।,Mujhe ye chahiye.,मुझे येचाहिए।,
new delhi,restaurant,ordering,restaurant.ordering.water_please,hi-IN,Water please,पानी लाइए।,Paani laiye.,पानी लाइए।,,,,,,,
new delhi,restaurant,dietary_preference,restaurant.dietary_preference.i_dont_eat_onions,hi-IN,I don't eat onions,मैं प्याज नहींखाता।,Main pyaz nahi chahiye.,मैं प्याज नहीं chahiye,मैं प्याज नहींखाती।,Main pyaz nahi khati.,मैं प्याज नहींखाती।,मैं प्याज नहींखाता।,Main pyaz nahi khata.,मैं प्याजनहीं खाता।,
new delhi,restaurant,dietary_preference,restaurant.dietary_preference.please_use_less_oil,hi-IN,Please use less oil,तेल थोड़ा कमडालिए।,Tel thoda kam daliye.,तेल थोड़ा कमडालिए।,तेल थोड़ा कमडालिए।,Tel thoda kam daliye.,तेल थोड़ा कमडालिए।,तेल थोड़ा कमडालिए।,Tel thoda kam daliye.,तेल थोड़ाकमडालिए।,
new delhi,restaurant,dietary_preference,restaurant.dietary_preference.dont_make_it_too_spicy,hi-IN,Don't make it too spicy,ज्यादा तीखा मतबनाइए।,Zyada teekha mat banaiye.,ज्यादा तीखामत बनाइए।,ज्यादा तीखा मतबनाइए।,Zyada teekha mat banaiye.,ज्यादा तीखामत बनाइए।,ज्यादा तीखामत बनाइए।,Zyada teekha mat banaiye.,ज्यादातीखा मतबनाइए।,
new delhi,restaurant,dietary_preference,restaurant.dietary_preference.im_vegetarian,hi-IN,I'm vegetarian,मैं शाकाहारी हूं।,Main shakahari hoon.,मैं शाकाहारीहूं।,,,,,,,
new delhi,restaurant,asking_recommendation,restaurant.asking_recommendation.what_do_you_recommend,hi-IN,What do you recommend?,आप क्यासुझाएंगे?,Aap kya sujhayenge?,आप क्यासुझाएंगे?,आप क्यासुझाएंगे?,Aap kya sujhayenge?,आप क्यासुझाएंगे?,आप क्यासुझाएंगे?,Aap kya sujhayenge?,आप क्यासुझाएंगे?,
new delhi,restaurant,asking_recommendation,restaurant.asking_recommendation.whats_the_best_dish_here,hi-IN,What's the best dish here?,यहां की सबसे बेस्टडिश कौन सी है?,Yahan ki sabse best dish kaun si hai?,यहां की सबसेबेस्ट डिशकौन सी है?,यहां की सबसेबेस्ट डिश कौन सीहै?,Yahan ki sabse best dish kaun si hai?,यहां की सबसेबेस्ट डिशकौन सी है?,यहां की सबसेबेस्ट डिश कौनसी है?,Yahan ki sabse best dish kaun si hai?,यहां कीसबसे बेस्टडिश कौनसी है?,
new delhi,restaurant,asking_recommendation,restaurant.asking_recommendation.got_anything_light_to_eat,hi-IN,Got anything light to eat?,कुछ हल्का खानेको क्या मिलेगा?,Kuch halka khane ko kya milega?,कुछ हल्काखाने को क्यामिलेगा?,कुछ हल्का खानेको क्या मिलेगा?,Kuch halka khane ko kya milega?,कुछ हल्काखाने को क्यामिलेगा?,कुछ हल्का खानेको क्यामिलेगा?,Kuch halka khane ko kya milega?,कुछ हल्काखाने कोक्यामिलेगा?,
new delhi,restaurant,paying_bill,restaurant.paying_bill.can_you_bring_the_bill_please,hi-IN,Can you bring the bill please?,भैया बिल लेआइए।,Bhaiya bill le aaiye.,भैया बिल लेआइए।,भैया बिल लेआइए।,Bhaiya bill le aaiye.,भैया बिल लेआइए।,भैया बिल लेआइए।,Bhaiya bill le aaiye.,भैया बिलले आइए।,
