city,spot_type,sub_scenario,phrase_key,lang_code,translation_en,neutral_native,neutral_romanized,neutral_tts,female_native,female_romanized,female_tts,male_native,male_romanized,male_tts,notes
mexico city,restaurant,ordering,restaurant.ordering.excuse_me,es-MX,Excuse me!,¡Disculpe!,Disculpe,¡Disculpe!,,,,,,,
mexico city,restaurant,ordering,restaurant.ordering.menu_please,es-MX,Menu please,El menú por favor,El menú por favor,El menú por favor,,,,,,,
mexico city,restaurant,ordering,restaurant.ordering.what_do_you_recommend,es-MX,What do you recommend?,¿Qué me recomienda?,Qué me recomienda,¿Qué me recomienda?,,,,,,,
mexico city,restaurant,ordering,restaurant.ordering.this_one_please,es-MX,This one please,Este por favor,Este por favor,Este por favor,,,,,,,
mexico city,restaurant,ordering,restaurant.ordering.water_please,es-MX,Water please,Agua por favor,Agua por favor,Agua por favor,,,,,,,
mexico city,restaurant,dietary,restaurant.dietary.i_have_a_nut_allergy,es-MX,I have a nut allergy,Soy alérgico a las nueces,Soy alérgico a las nueces,Soy alérgico a las nueces,Soy alérgica a las nueces,Soy alérgica a las nueces,Soy alérgica a las nueces,,,
mexico city,restaurant,dietary,restaurant.dietary.i_cant_eat_seafood,es-MX,I can't eat seafood,No puedo comer mariscos,No puedo comer mariscos,No puedo comer mariscos,,,,,,,
mexico city,restaurant,dietary,restaurant.dietary.no_spicy_please,es-MX,No spicy please,No picante por favor,No picante por favor,No picante por favor,,,,,,,
mexico city,restaurant,dietary,restaurant.dietary.im_vegetarian,es-MX,I'm vegetarian,Soy vegetariano,Soy vegetariano,Soy vegetariano,Soy vegetariana,Soy vegetariana,Soy vegetariana,,,
mexico city,restaurant,paying,restaurant.paying.check_please,es-MX,Check please,La cuenta por favor,La cuenta por favor,La cuenta por favor,,,,,,,
mexico city,restaurant,paying,restaurant.paying.can_i_pay_by_card,es-MX,Can I pay by card?,¿Puedo pagar con tarjeta?,Puedo pagar con tarjeta,¿Puedo pagar con tarjeta?,,,,,,,
mexico city,restaurant,paying,restaurant.paying.receipt_please,es-MX,Receipt please,El ticket por favor,El ticket por favor,El ticket por favor,,,,,,,
mexico city,restaurant,paying,restaurant.paying.separate_checks_please,es-MX,Separate checks please,Cuentas separadas por favor,Cuentas separadas por favor,Cuentas separadas por favor,,,,,,,
mexico city,cafe,ordering,cafe.ordering.one_coffee_please,es-MX,One coffee please,Un café por favor,Un café por favor,Un café por favor,,,,,,,
mexico city,cafe,ordering,cafe.ordering.hot_please,es-MX,Hot please,Caliente por favor,Caliente por favor,Caliente por favor,,,,,,,
mexico city,cafe,ordering,cafe.ordering.to-go_please,es-MX,To-go please,Para llevar por favor,Para llevar por favor,Para llevar por favor,,,,,,,
mexico city,cafe,finding_facilities,cafe.finding_facilities.can_i_sit_here,es-MX,Can I sit here?,¿Me puedo sentar aquí?,Me puedo sentar aquí,¿Me puedo sentar aquí?,,,,,,,
mexico city,cafe,finding_facilities,cafe.finding_facilities.any_seats_with_outlets,es-MX,Any seats with outlets?,¿Hay lugares con enchufes?,Hay lugares con enchufes,¿Hay lugares con enchufes?,,,,,,,
mexico city,cafe,finding_facilities,cafe.finding_facilities.whats_the_wifi_password,es-MX,What's the wifi password?,¿Cuál es la contraseña del wifi?,Cuál es la contraseña del wifi,¿Cuál es la contraseña del wifi?,,,,,,,
